time,X,Y,theta,u,v,omega
7.0,21.5645900120061,10.557336684109957,1.9887116804470695,2.4163584354182115,-5.552312215649153,0.5447892068828956
7.1000000000000005,21.99234664061927,10.989378784223023,2.043925226430533,2.2125161997464944,-5.6628952864343916,0.5521354598346361
7.2,22.41433794374804,11.429920968756905,2.0998725161588165,1.9985692078019162,-5.763777298668491,0.5594728972828349
7.300000000000001,22.83012137776686,11.878621895178258,2.156552669139426,1.774908273039522,-5.854104471213529,0.5668015298060954
7.4,23.239270882575696,12.335110673266245,2.2139648059364587,1.5419941186743873,-5.933025056287182,0.5741213679703281
7.5,23.641379189098572,12.798987394411741,2.272108048169335,1.3003596782436055,-5.999694572787636,0.5814324223287637
7.6000000000000005,24.036060134415347,13.26982385004995,2.330981518511532,1.0506120754525718,-6.053281417737212,0.5887347034219692
7.7,24.4229509684035,13.747164443781774,2.390584340689318,0.7934342382528492,-6.092972845368513,0.5960282217778629
7.800000000000001,24.801714635003844,14.230527300232772,2.450915639480491,0.5295861009099805,-6.1179812990089655,0.6033129879117294
7.9,25.172042010621983,14.719405572075459,2.5119745407131147,0.2599053469653644,-6.127551076231833,0.6105890123262354
8.0,25.533654081756058,15.213268944920092,2.573760171264259,-0.01469235447554923,-6.120965302748831,0.6178563055114439
8.1,25.886304043717864,15.711565337983956,2.6362716590587416,-0.29321366673708626,-6.097553185241652,0.6251148779448301
8.200000000000001,26.229779302303612,16.21372279660573,2.699508133067871,-0.574588505017221,-6.056697507792898,0.6323647400912963
8.3,26.563903360482843,16.71915157080935,2.76346872330819,-0.8576716034784315,-5.997842330813637,0.6396059024031866
8.4,26.88853757261586,17.227246372273065,2.8281525608402203,-1.1412447746312073,-5.920500845413744,0.6468383753203027
8.5,27.203582749382615,17.737388800258408,2.893558777767212,-1.4240199034761205,-5.8242633300685736,0.6540621692699183
8.6,27.508980597505087,18.24894992533587,2.9596865072338914,-1.7046427160157234,-5.708805150254308,0.6612772946667944
8.700000000000001,27.80471497946006,18.76129301814548,3.0265348834252106,-1.9816973581743484,-5.573894735515326,0.6684837619131943
8.8,28.090812979693123,19.27377640898583,3.0941030415651003,-2.2537118168321864,-5.419401462258483,0.6756815813988984
8.9,28.36734576533359,19.785756462768273,3.1623901179152223,-2.519164209554521,-5.245303364517094,0.6828707635012198
9.0,28.63442923104392,20.296590652833398,3.231395249773724,-2.776489963648146,-5.051694589075499,0.6900513185850183
9.1,28.892224419379044,20.805640716330647,3.3011175754739956,-3.024089898382108,-4.8387925057841334,0.6972232570027167
9.200000000000001,29.140937709838187,21.312275873327795,3.371556234383427,-3.2603392165543443,-4.606944378723456,0.7043865890943138
9.3,29.380820771616943,21.815876091557804,3.442710366902167,-3.4835974030641306,-4.35663349919764,0.7115413251874003
9.4,29.612170276858425,22.315835378729076,3.5145791144618843,-3.6922190187675605,-4.088484677466658,0.7186874755971755
9.5,29.835327372905773,22.81156508461532,3.5871616195245304,-3.8845653676663674,-3.803268986774631,0.7258250506264589
9.600000000000001,30.050676913619167,23.302497195685433,3.6604570255811013,-4.059017004438957,-3.501907650723813,0.7329540605657071
9.700000000000001,30.258646451185395,23.788087605803348,3.734464477150404,-4.21398703751047,-3.1854749635012447,0.7400745156930283
9.8,30.459704990967506,24.26781934748159,3.8091831197778236,-4.347935170335179,-2.8552001320149416,0.7471864262741966
9.9,30.654361512772574,24.74120576925773,3.8846121000340905,-4.459382410405076,-2.512467929764692,0.754289802562668
